No.31, R2: 0.869831, MSE: 0.108408, MAE: 0.273032, EV: 0.870278 {'colsample_bytree': 0.6539668943700784, 'gamma': 0.2505103046871034, 'learning_rate': 0.2808937614632245, 'max_depth': 2.0, 'min_child_weight': 7.64749114382383, 'n_estimators': 171.0, 'subsample': 0.8015068987170818}
No.32, R2: 0.842368, MSE: 0.131280, MAE: 0.304529, EV: 0.842587 {'colsample_bytree': 0.6516879886321268, 'gamma': 0.25087214438319366, 'learning_rate': 0.2804740808622595, 'max_depth': 3.0, 'min_child_weight': 7.649157837095632, 'n_estimators': 170.0, 'subsample': 0.8015591392686102}
No.33, R2: 0.804608, MSE: 0.162727, MAE: 0.323016, EV: 0.804640 {'colsample_bytree': 0.6505271530638326, 'gamma': 0.2542146199364844, 'learning_rate': 0.28534155710056736, 'max_depth': 2.0, 'min_child_weight': 7.646855082499563, 'n_estimators': 250.0, 'subsample': 0.7984145974724153}
No.34, R2: 0.828666, MSE: 0.142691, MAE: 0.310095, EV: 0.829126 {'colsample_bytree': 0.6542166040749741, 'gamma': 0.2502896655307858, 'learning_rate': 0.28270978418611686, 'max_depth': 3.0, 'min_child_weight': 7.647868347153882, 'n_estimators': 210.0, 'subsample': 0.7996409905940768}
No.35, R2: 0.827184, MSE: 0.143925, MAE: 0.311785, EV: 0.827279 {'colsample_bytree': 0.6528374338596209, 'gamma': 0.2595574866348736, 'learning_rate': 0.28166492209141714, 'max_depth': 1.0, 'min_child_weight': 7.644183291480825, 'n_estimators': 180.0, 'subsample': 0.8033706694349121}
No.36, R2: 0.856030, MSE: 0.119902, MAE: 0.286962, EV: 0.856037 {'colsample_bytree': 0.64939512089885, 'gamma': 0.2537013252718255, 'learning_rate': 0.2764105401901786, 'max_depth': 2.0, 'min_child_weight': 7.6473431318939795, 'n_estimators': 189.0, 'subsample': 0.8014760231803434}
No.37, R2: 0.845101, MSE: 0.129004, MAE: 0.294282, EV: 0.845371 {'colsample_bytree': 0.6496780635422436, 'gamma': 0.25540821790849844, 'learning_rate': 0.27378545532061344, 'max_depth': 2.0, 'min_child_weight': 7.647179385702025, 'n_estimators': 188.0, 'subsample': 0.7950110094580416}
No.38, R2: 0.871725, MSE: 0.106831, MAE: 0.268272, EV: 0.872182 {'colsample_bytree': 0.6491260275126628, 'gamma': 0.2533882679939792, 'learning_rate': 0.278173279812163, 'max_depth': 2.0, 'min_child_weight': 7.648992499841069, 'n_estimators': 216.0, 'subsample': 0.8001464113327297}
No.39, R2: 0.810068, MSE: 0.158180, MAE: 0.325986, EV: 0.810146 {'colsample_bytree': 0.6505728070901867, 'gamma': 0.25157299516109205, 'learning_rate': 0.28332405767055474, 'max_depth': 2.0, 'min_child_weight': 7.649584963964528, 'n_estimators': 219.0, 'subsample': 0.7975718460097673}
No.40, R2: 0.841976, MSE: 0.131607, MAE: 0.294607, EV: 0.842438 {'colsample_bytree': 0.6490474665048103, 'gamma': 0.25598957524859156, 'learning_rate': 0.2798256999043929, 'max_depth': 2.0, 'min_child_weight': 7.6487227932844775, 'n_estimators': 220.0, 'subsample': 0.797921180454552}
No.41, R2: 0.859794, MSE: 0.116767, MAE: 0.275950, EV: 0.860222 {'colsample_bytree': 0.6482474632087778, 'gamma': 0.25327927590360233, 'learning_rate': 0.2785488411243343, 'max_depth': 2.0, 'min_child_weight': 7.645667839785552, 'n_estimators': 224.0, 'subsample': 0.7997711495044334}
No.42, R2: 0.859413, MSE: 0.117085, MAE: 0.282539, EV: 0.859455 {'colsample_bytree': 0.6468472656560169, 'gamma': 0.24876932208968464, 'learning_rate': 0.28100653273822407, 'max_depth': 2.0, 'min_child_weight': 7.640835548907532, 'n_estimators': 215.0, 'subsample': 0.800841072569512}
No.43, R2: 0.824159, MSE: 0.146444, MAE: 0.317188, EV: 0.824338 {'colsample_bytree': 0.6473731497980988, 'gamma': 0.24946045927988858, 'learning_rate': 0.28504423646369714, 'max_depth': 2.0, 'min_child_weight': 7.649679789182207, 'n_estimators': 209.0, 'subsample': 0.8041840635553523}
No.44, R2: 0.838290, MSE: 0.134676, MAE: 0.298383, EV: 0.838918 {'colsample_bytree': 0.645801705063235, 'gamma': 0.24663795142640993, 'learning_rate': 0.27793362352981527, 'max_depth': 1.0, 'min_child_weight': 7.646205889215651, 'n_estimators': 200.0, 'subsample': 0.799307867203248}
No.45, R2: 0.832260, MSE: 0.139698, MAE: 0.311547, EV: 0.832319 {'colsample_bytree': 0.6450439650102214, 'gamma': 0.2555629893758761, 'learning_rate': 0.2860805707884705, 'max_depth': 2.0, 'min_child_weight': 7.642769915389162, 'n_estimators': 224.0, 'subsample': 0.7959685046814388}
No.46, R2: 0.830060, MSE: 0.141530, MAE: 0.313627, EV: 0.830459 {'colsample_bytree': 0.6504462031128487, 'gamma': 0.253078976667975, 'learning_rate': 0.2836165240421125, 'max_depth': 1.0, 'min_child_weight': 7.639352734057651, 'n_estimators': 234.0, 'subsample': 0.8034075611007622}
No.47, R2: 0.832978, MSE: 0.139100, MAE: 0.304240, EV: 0.833458 {'colsample_bytree': 0.6510590535039196, 'gamma': 0.25193859272804564, 'learning_rate': 0.28248197263138114, 'max_depth': 2.0, 'min_child_weight': 7.641792366157392, 'n_estimators': 250.0, 'subsample': 0.8001160998988501}
No.48, R2: 0.855243, MSE: 0.120557, MAE: 0.289196, EV: 0.855259 {'colsample_bytree': 0.6482600481168196, 'gamma': 0.25993782501609286, 'learning_rate': 0.2755925498129728, 'max_depth': 2.0, 'min_child_weight': 7.648087219883409, 'n_estimators': 246.0, 'subsample': 0.8027777727974396}
No.49, R2: 0.821230, MSE: 0.148884, MAE: 0.319683, EV: 0.822050 {'colsample_bytree': 0.6489062392308331, 'gamma': 0.2512933761722643, 'learning_rate': 0.2717464078856725, 'max_depth': 1.0, 'min_child_weight': 7.649954756013059, 'n_estimators': 207.0, 'subsample': 0.7956645953864083}
No.50, R2: 0.851062, MSE: 0.124039, MAE: 0.288917, EV: 0.851069 {'colsample_bytree': 0.6476378079212234, 'gamma': 0.2584518213195776, 'learning_rate': 0.2736779541032604, 'max_depth': 2.0, 'min_child_weight': 7.630409353630873, 'n_estimators': 239.0, 'subsample': 0.8005036787263726}
No.51, R2: 0.851314, MSE: 0.123829, MAE: 0.293241, EV: 0.851361 {'colsample_bytree': 0.651788541692757, 'gamma': 0.25005970139107886, 'learning_rate': 0.27947464734144206, 'max_depth': 2.0, 'min_child_weight': 7.639110028808733, 'n_estimators': 213.0, 'subsample': 0.7979189195318986}
No.52, R2: 0.827497, MSE: 0.143665, MAE: 0.310017, EV: 0.828381 {'colsample_bytree': 0.6493268875376602, 'gamma': 0.24784054424107227, 'learning_rate': 0.28430530553465216, 'max_depth': 1.0, 'min_child_weight': 7.648980602799914, 'n_estimators': 199.0, 'subsample': 0.8060812587845266}
No.53, R2: 0.826352, MSE: 0.144618, MAE: 0.317320, EV: 0.826389 {'colsample_bytree': 0.6469451478249687, 'gamma': 0.24529349726622723, 'learning_rate': 0.2894266611971951, 'max_depth': 2.0, 'min_child_weight': 7.636376422401074, 'n_estimators': 205.0, 'subsample': 0.7968927941471209}
No.54, R2: 0.836861, MSE: 0.135867, MAE: 0.299164, EV: 0.836883 {'colsample_bytree': 0.6479273816435114, 'gamma': 0.25762904058873815, 'learning_rate': 0.2807810039336105, 'max_depth': 2.0, 'min_child_weight': 7.645057427843762, 'n_estimators': 226.0, 'subsample': 0.8076658855960595}
No.55, R2: 0.838430, MSE: 0.134559, MAE: 0.300646, EV: 0.839073 {'colsample_bytree': 0.6509626097603841, 'gamma': 0.2528137660133146, 'learning_rate': 0.287117321363496, 'max_depth': 1.0, 'min_child_weight': 7.646812502647005, 'n_estimators': 222.0, 'subsample': 0.8011060421474692}
No.56, R2: 0.855353, MSE: 0.120466, MAE: 0.291664, EV: 0.855355 {'colsample_bytree': 0.6499167618003536, 'gamma': 0.2563229673265344, 'learning_rate': 0.2747296030071399, 'max_depth': 2.0, 'min_child_weight': 7.643967354606603, 'n_estimators': 231.0, 'subsample': 0.8021673371204285}
